ubigeo,year,population
010101,2017,32589
010102,2017,262
010103,2017,1136
010104,2017,642
010105,2017,585
010106,2017,1781
010107,2017,480
010108,2017,1258
010109,2017,3978
010110,2017,3620
010111,2017,794
010112,2017,852
010113,2017,1367
010114,2017,2176
010115,2017,496
010116,2017,375
010117,2017,769
010118,2017,295
010119,2017,580
010120,2017,1224
010121,2017,247
010201,2017,27102
010202,2017,9765
010203,2017,4595
010204,2017,1216
010205,2017,25162
010206,2017,6260
010301,2017,1337
010302,2017,306
010303,2017,287
010304,2017,772
010305,2017,669
010306,2017,5999
010307,2017,7580
010308,2017,208
010309,2017,489
010310,2017,1539
010311,2017,874
010312,2017,5577
010401,2017,18626
010402,2017,9891
010403,2017,13953
010501,2017,2227
010502,2017,6473
010503,2017,1881
010504,2017,1853
010505,2017,1840
010506,2017,498
010507,2017,839
010508,2017,842
010509,2017,3959
010510,2017,388
010511,2017,744
010512,2017,3556
010513,2017,3446
010514,2017,4768
010515,2017,1316
010516,2017,546
010517,2017,695
010518,2017,633
010519,2017,419
010520,2017,1888
010521,2017,3012
010522,2017,1265
010523,2017,1348
010601,2017,6016
010602,2017,2498
010603,2017,595
010604,2017,2620
010605,2017,2280
010606,2017,1631
010607,2017,1506
010608,2017,453
010609,2017,8793
010610,2017,512
010611,2017,282
010612,2017,2812
010701,2017,50841
010702,2017,23089
010703,2017,7855
010704,2017,5825
010705,2017,6620
010706,2017,10080
010707,2017,2927
020101,2017,60896
020102,2017,1639
020103,2017,294
020104,2017,1600
020105,2017,76088
020106,2017,4781
020107,2017,1066
020108,2017,2351
020109,2017,956
020110,2017,4606
020111,2017,3321
020112,2017,6338
020201,2017,2017
020202,2017,1639
020203,2017,364
020204,2017,1582
020205,2017,714
020301,2017,3288
020302,2017,1918
020303,2017,1368
020304,2017,1851
020305,2017,4067
020306,2017,1158
020401,2017,4563
020402,2017,2815
020501,2017,4023
020502,2017,244
020503,2017,994
020504,2017,2062
020505,2017,1677
020506,2017,312
020507,2017,2313
020508,2017,6468
