ubigeo,departmento,provincia,distrito,source
010103,AMAZONAS,CHACHAPOYAS,BALSAS,INEI - CPV2017 RESULTADOS
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,INEI - CPV2017 RESULTADOS
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,INEI - CPV2017 RESULTADOS
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,INEI - CPV2017 RESULTADOS
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,INEI - CPV2017 RESULTADOS
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,INEI - CPV2017 RESULTADOS
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,INEI - CPV2017 RESULTADOS
010104,AMAZONAS,CHACHAPOYAS,CHETO,INEI - CPV2017 RESULTADOS
010107,AMAZONAS,CHACHAPOYAS,GRANADA,INEI - CPV2017 RESULTADOS
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,INEI - CPV2017 RESULTADOS
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,INEI - CPV2017 RESULTADOS
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,INEI - CPV2017 RESULTADOS
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,INEI - CPV2017 RESULTADOS
010121,AMAZONAS,CHACHAPOYAS,SONCHE,INEI - CPV2017 RESULTADOS
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,INEI - CPV2017 RESULTADOS
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,INEI - CPV2017 RESULTADOS
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,INEI - CPV2017 RESULTADOS
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,INEI - CPV2017 RESULTADOS
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,INEI - CPV2017 RESULTADOS
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,INEI - CPV2017 RESULTADOS
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,INEI - CPV2017 RESULTADOS
010204,AMAZONAS,BAGUA,EL PARCO,INEI - CPV2017 RESULTADOS
010205,AMAZONAS,BAGUA,IMAZA,INEI - CPV2017 RESULTADOS
010202,AMAZONAS,BAGUA,ARAMANGO,INEI - CPV2017 RESULTADOS
010206,AMAZONAS,BAGUA,LA PECA,INEI - CPV2017 RESULTADOS
010201,AMAZONAS,BAGUA,BAGUA,INEI - CPV2017 RESULTADOS
010203,AMAZONAS,BAGUA,COPALLIN,INEI - CPV2017 RESULTADOS
010303,AMAZONAS,BONGARA,CHURUJA,INEI - CPV2017 RESULTADOS
010307,AMAZONAS,BONGARA,JAZAN,INEI - CPV2017 RESULTADOS
010309,AMAZONAS,BONGARA,SAN CARLOS,INEI - CPV2017 RESULTADOS
010308,AMAZONAS,BONGARA,RECTA,INEI - CPV2017 RESULTADOS
010305,AMAZONAS,BONGARA,CUISPES,INEI - CPV2017 RESULTADOS
010311,AMAZONAS,BONGARA,VALERA,INEI - CPV2017 RESULTADOS
010304,AMAZONAS,BONGARA,COROSHA,INEI - CPV2017 RESULTADOS
010306,AMAZONAS,BONGARA,FLORIDA,INEI - CPV2017 RESULTADOS
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,INEI - CPV2017 RESULTADOS
010310,AMAZONAS,BONGARA,SHIPASBAMBA,INEI - CPV2017 RESULTADOS
010302,AMAZONAS,BONGARA,CHISQUILLA,INEI - CPV2017 RESULTADOS
010301,AMAZONAS,BONGARA,JUMBILLA,INEI - CPV2017 RESULTADOS
010401,AMAZONAS,CONDORCANQUI,NIEVA,INEI - CPV2017 RESULTADOS
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,INEI - CPV2017 RESULTADOS
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,INEI - CPV2017 RESULTADOS
010521,AMAZONAS,LUYA,SANTO TOMAS,INEI - CPV2017 RESULTADOS
010514,AMAZONAS,LUYA,PISUQUIA,INEI - CPV2017 RESULTADOS
010515,AMAZONAS,LUYA,PROVIDENCIA,INEI - CPV2017 RESULTADOS
010504,AMAZONAS,LUYA,COLCAMAR,INEI - CPV2017 RESULTADOS
010501,AMAZONAS,LUYA,LAMUD,INEI - CPV2017 RESULTADOS
010518,AMAZONAS,LUYA,SAN JERONIMO,INEI - CPV2017 RESULTADOS
010520,AMAZONAS,LUYA,SANTA CATALINA,INEI - CPV2017 RESULTADOS
010505,AMAZONAS,LUYA,CONILA,INEI - CPV2017 RESULTADOS
010508,AMAZONAS,LUYA,LONYA CHICO,INEI - CPV2017 RESULTADOS
010507,AMAZONAS,LUYA,LONGUITA,INEI - CPV2017 RESULTADOS
010506,AMAZONAS,LUYA,INGUILPATA,INEI - CPV2017 RESULTADOS
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,INEI - CPV2017 RESULTADOS
010510,AMAZONAS,LUYA,LUYA VIEJO,INEI - CPV2017 RESULTADOS
010523,AMAZONAS,LUYA,TRITA,INEI - CPV2017 RESULTADOS
010512,AMAZONAS,LUYA,OCALLI,INEI - CPV2017 RESULTADOS
010509,AMAZONAS,LUYA,LUYA,INEI - CPV2017 RESULTADOS
010511,AMAZONAS,LUYA,MARIA,INEI - CPV2017 RESULTADOS
010516,AMAZONAS,LUYA,SAN CRISTOBAL,INEI - CPV2017 RESULTADOS
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,INEI - CPV2017 RESULTADOS
010502,AMAZONAS,LUYA,CAMPORREDONDO,INEI - CPV2017 RESULTADOS
010513,AMAZONAS,LUYA,OCUMAL,INEI - CPV2017 RESULTADOS
010522,AMAZONAS,LUYA,TINGO,INEI - CPV2017 RESULTADOS
010503,AMAZONAS,LUYA,COCABAMBA,INEI - CPV2017 RESULTADOS
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,INEI - CPV2017 RESULTADOS
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,INEI - CPV2017 RESULTADOS
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,INEI - CPV2017 RESULTADOS
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,INEI - CPV2017 RESULTADOS
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,INEI - CPV2017 RESULTADOS
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,INEI - CPV2017 RESULTADOS
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,INEI - CPV2017 RESULTADOS
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,INEI - CPV2017 RESULTADOS
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,INEI - CPV2017 RESULTADOS
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,INEI - CPV2017 RESULTADOS
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,INEI - CPV2017 RESULTADOS
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,INEI - CPV2017 RESULTADOS
010705,AMAZONAS,UTCUBAMBA,JAMALCA,INEI - CPV2017 RESULTADOS
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,INEI - CPV2017 RESULTADOS
010707,AMAZONAS,UTCUBAMBA,YAMON,INEI - CPV2017 RESULTADOS
010703,AMAZONAS,UTCUBAMBA,CUMBA,INEI - CPV2017 RESULTADOS
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,INEI - CPV2017 RESULTADOS
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,INEI - CPV2017 RESULTADOS
010702,AMAZONAS,UTCUBAMBA,CAJARURO,INEI - CPV2017 RESULTADOS
020104,ANCASH,HUARAZ,HUANCHAY,INEI - CPV2017 RESULTADOS
020108,ANCASH,HUARAZ,OLLEROS,INEI - CPV2017 RESULTADOS
020109,ANCASH,HUARAZ,PAMPAS GRANDE,INEI - CPV2017 RESULTADOS
020107,ANCASH,HUARAZ,LA LIBERTAD,INEI - CPV2017 RESULTADOS
020103,ANCASH,HUARAZ,COLCABAMBA,INEI - CPV2017 RESULTADOS
020111,ANCASH,HUARAZ,PIRA,INEI - CPV2017 RESULTADOS
020106,ANCASH,HUARAZ,JANGAS,INEI - CPV2017 RESULTADOS
020102,ANCASH,HUARAZ,COCHABAMBA,INEI - CPV2017 RESULTADOS
020112,ANCASH,HUARAZ,TARICA,INEI - CPV2017 RESULTADOS
020101,ANCASH,HUARAZ,HUARAZ,INEI - CPV2017 RESULTADOS
020105,ANCASH,HUARAZ,INDEPENDENCIA,INEI - CPV2017 RESULTADOS
020110,ANCASH,HUARAZ,PARIACOTO,INEI - CPV2017 RESULTADOS
020203,ANCASH,AIJA,HUACLLAN,INEI - CPV2017 RESULTADOS
020205,ANCASH,AIJA,SUCCHA,INEI - CPV2017 RESULTADOS
020204,ANCASH,AIJA,LA MERCED,INEI - CPV2017 RESULTADOS
020201,ANCASH,AIJA,AIJA,INEI - CPV2017 RESULTADOS
020202,ANCASH,AIJA,CORIS,INEI - CPV2017 RESULTADOS
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,INEI - CPV2017 RESULTADOS
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,INEI - CPV2017 RESULTADOS
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,INEI - CPV2017 RESULTADOS
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,INEI - CPV2017 RESULTADOS
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,INEI - CPV2017 RESULTADOS
020302,ANCASH,ANTONIO RAYMONDI,ACZO,INEI - CPV2017 RESULTADOS
020402,ANCASH,ASUNCION,ACOCHACA,INEI - CPV2017 RESULTADOS
020401,ANCASH,ASUNCION,CHACAS,INEI - CPV2017 RESULTADOS
020501,ANCASH,BOLOGNESI,CHIQUIAN,INEI - CPV2017 RESULTADOS
020505,ANCASH,BOLOGNESI,CAJACAY,INEI - CPV2017 RESULTADOS
020503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,INEI - CPV2017 RESULTADOS
020504,ANCASH,BOLOGNESI,AQUIA,INEI - CPV2017 RESULTADOS
020509,ANCASH,BOLOGNESI,HUASTA,INEI - CPV2017 RESULTADOS
020507,ANCASH,BOLOGNESI,COLQUIOC,INEI - CPV2017 RESULTADOS
020512,ANCASH,BOLOGNESI,MANGAS,INEI - CPV2017 RESULTADOS
020513,ANCASH,BOLOGNESI,PACLLON,INEI - CPV2017 RESULTADOS
020508,ANCASH,BOLOGNESI,HUALLANCA,INEI - CPV2017 RESULTADOS
020502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,INEI - CPV2017 RESULTADOS
020511,ANCASH,BOLOGNESI,LA PRIMAVERA,INEI - CPV2017 RESULTADOS
020514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,INEI - CPV2017 RESULTADOS
020510,ANCASH,BOLOGNESI,HUAYLLACAYAN,INEI - CPV2017 RESULTADOS
020515,ANCASH,BOLOGNESI,TICLLOS,INEI - CPV2017 RESULTADOS
020506,ANCASH,BOLOGNESI,CANIS,INEI - CPV2017 RESULTADOS
020607,ANCASH,CARHUAZ,PARIAHUANCA,INEI - CPV2017 RESULTADOS
020602,ANCASH,CARHUAZ,ACOPAMPA,INEI - CPV2017 RESULTADOS
020611,ANCASH,CARHUAZ,YUNGAR,INEI - CPV2017 RESULTADOS
020608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,INEI - CPV2017 RESULTADOS
020604,ANCASH,CARHUAZ,ANTA,INEI - CPV2017 RESULTADOS
020610,ANCASH,CARHUAZ,TINCO,INEI - CPV2017 RESULTADOS
020606,ANCASH,CARHUAZ,MARCARA,INEI - CPV2017 RESULTADOS
020605,ANCASH,CARHUAZ,ATAQUERO,INEI - CPV2017 RESULTADOS
020601,ANCASH,CARHUAZ,CARHUAZ,INEI - CPV2017 RESULTADOS
020609,ANCASH,CARHUAZ,SHILLA,INEI - CPV2017 RESULTADOS
020603,ANCASH,CARHUAZ,AMASHCA,INEI - CPV2017 RESULTADOS
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,INEI - CPV2017 RESULTADOS
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,INEI - CPV2017 RESULTADOS
020703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,INEI - CPV2017 RESULTADOS
020802,ANCASH,CASMA,BUENA VISTA ALTA,INEI - CPV2017 RESULTADOS
020804,ANCASH,CASMA,YAUTAN,INEI - CPV2017 RESULTADOS
020801,ANCASH,CASMA,CASMA,INEI - CPV2017 RESULTADOS
020803,ANCASH,CASMA,COMANDANTE NOEL,INEI - CPV2017 RESULTADOS
020903,ANCASH,CORONGO,BAMBAS,INEI - CPV2017 RESULTADOS
020901,ANCASH,CORONGO,CORONGO,INEI - CPV2017 RESULTADOS
020902,ANCASH,CORONGO,ACO,INEI - CPV2017 RESULTADOS
020907,ANCASH,CORONGO,YUPAN,INEI - CPV2017 RESULTADOS
020904,ANCASH,CORONGO,CUSCA,INEI - CPV2017 RESULTADOS
020905,ANCASH,CORONGO,LA PAMPA,INEI - CPV2017 RESULTADOS
020906,ANCASH,CORONGO,YANAC,INEI - CPV2017 RESULTADOS
021007,ANCASH,HUARI,HUACHIS,INEI - CPV2017 RESULTADOS
021010,ANCASH,HUARI,PAUCAS,INEI - CPV2017 RESULTADOS
021015,ANCASH,HUARI,SAN PEDRO DE CHANA,INEI - CPV2017 RESULTADOS
021008,ANCASH,HUARI,HUANTAR,INEI - CPV2017 RESULTADOS
021016,ANCASH,HUARI,UCO,INEI - CPV2017 RESULTADOS
021006,ANCASH,HUARI,HUACCHIS,INEI - CPV2017 RESULTADOS
021003,ANCASH,HUARI,CAJAY,INEI - CPV2017 RESULTADOS
021012,ANCASH,HUARI,RAHUAPAMPA,INEI - CPV2017 RESULTADOS
021009,ANCASH,HUARI,MASIN,INEI - CPV2017 RESULTADOS
021011,ANCASH,HUARI,PONTO,INEI - CPV2017 RESULTADOS
021005,ANCASH,HUARI,HUACACHI,INEI - CPV2017 RESULTADOS
021004,ANCASH,HUARI,CHAVIN DE HUANTAR,INEI - CPV2017 RESULTADOS
021014,ANCASH,HUARI,SAN MARCOS,INEI - CPV2017 RESULTADOS
021002,ANCASH,HUARI,ANRA,INEI - CPV2017 RESULTADOS
021013,ANCASH,HUARI,RAPAYAN,INEI - CPV2017 RESULTADOS
021001,ANCASH,HUARI,HUARI,INEI - CPV2017 RESULTADOS
021104,ANCASH,HUARMEY,HUAYAN,INEI - CPV2017 RESULTADOS
021105,ANCASH,HUARMEY,MALVAS,INEI - CPV2017 RESULTADOS
021103,ANCASH,HUARMEY,CULEBRAS,INEI - CPV2017 RESULTADOS
021102,ANCASH,HUARMEY,COCHAPETI,INEI - CPV2017 RESULTADOS
021101,ANCASH,HUARMEY,HUARMEY,INEI - CPV2017 RESULTADOS
021203,ANCASH,HUAYLAS,HUATA,INEI - CPV2017 RESULTADOS
021206,ANCASH,HUAYLAS,PAMPAROMAS,INEI - CPV2017 RESULTADOS
021201,ANCASH,HUAYLAS,CARAZ,INEI - CPV2017 RESULTADOS
021204,ANCASH,HUAYLAS,HUAYLAS,INEI - CPV2017 RESULTADOS
021208,ANCASH,HUAYLAS,SANTA CRUZ,INEI - CPV2017 RESULTADOS
021207,ANCASH,HUAYLAS,PUEBLO LIBRE,INEI - CPV2017 RESULTADOS
021205,ANCASH,HUAYLAS,MATO,INEI - CPV2017 RESULTADOS
021209,ANCASH,HUAYLAS,SANTO TORIBIO,INEI - CPV2017 RESULTADOS
021210,ANCASH,HUAYLAS,YURACMARCA,INEI - CPV2017 RESULTADOS
021202,ANCASH,HUAYLAS,HUALLANCA,INEI - CPV2017 RESULTADOS
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,INEI - CPV2017 RESULTADOS
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,INEI - CPV2017 RESULTADOS
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,INEI - CPV2017 RESULTADOS
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,INEI - CPV2017 RESULTADOS
021306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,INEI - CPV2017 RESULTADOS
021307,ANCASH,MARISCAL LUZURIAGA,LUCMA,INEI - CPV2017 RESULTADOS
021302,ANCASH,MARISCAL LUZURIAGA,CASCA,INEI - CPV2017 RESULTADOS
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,INEI - CPV2017 RESULTADOS
021404,ANCASH,OCROS,CARHUAPAMPA,INEI - CPV2017 RESULTADOS
021409,ANCASH,OCROS,SAN PEDRO,INEI - CPV2017 RESULTADOS
021405,ANCASH,OCROS,COCHAS,INEI - CPV2017 RESULTADOS
021401,ANCASH,OCROS,OCROS,INEI - CPV2017 RESULTADOS
021402,ANCASH,OCROS,ACAS,INEI - CPV2017 RESULTADOS
021406,ANCASH,OCROS,CONGAS,INEI - CPV2017 RESULTADOS
021403,ANCASH,OCROS,CAJAMARQUILLA,INEI - CPV2017 RESULTADOS
021410,ANCASH,OCROS,SANTIAGO DE CHILCAS,INEI - CPV2017 RESULTADOS
